id,name,feels_like,humidity,pressure,temperature,temp_max,temp_min,weather,wind_speed,datetime,timezone,country,sunrise,sunset,latitude,longitude,clouds
2094342,Kavieng,305.02,74,1007,301.45,301.45,301.45,light rain,2.56,1586059827,36000,PG,1586030224,1586073694,-2.57,150.8,5
5924351,Clyde River,246.37,77,1036,258.15,258.15,258.15,clear sky,11.8,1586059827,-14400,CA,1586077998,1586131205,70.47,-68.59,1
1735106,George Town,310.77,70,1011,304.98,305.15,304.82,few clouds,1.5,1586059630,28800,MY,1586042125,1586086008,5.41,100.34,20
2112802,Hasaki,276.9,66,1011,283.55,285.37,282.04,light intensity shower rain,7.7,1586059827,32400,JP,1586031445,1586077257,35.73,140.83,75
1802204,Luancheng,284.03,30,1026,287.15,287.15,287.15,overcast clouds,1.0,1586059827,28800,CN,1586037628,1586083638,37.88,114.65,100
3652764,Puerto Ayora,304.14,87,1010,299.26,299.26,299.26,clear sky,1.15,1586059827,-21600,EC,1586001659,1586045223,-0.74,-90.35,10
126972,Sarab,277.92,52,1025,280.36,280.36,280.36,clear sky,0.26,1586059828,16200,IR,1586054296,1586100400,38.61,44.99,0
1015776,Bredasdorp,283.98,93,1010,285.15,285.15,285.15,overcast clouds,2.1,1586059828,7200,ZA,1586062524,1586104145,-34.53,20.04,98
6170031,Tuktoyaktuk,255.56,72,1010,262.15,262.15,262.15,clear sky,4.6,1586059828,-21600,CA,1586007572,1586059797,69.45,-133.04,5
336526,Gīdolē,284.55,56,1014,286.39,286.39,286.39,scattered clouds,0.93,1586059828,10800,ET,1586057227,1586101126,5.65,37.37,25
1651810,Airai,296.68,45,1011,297.01,297.01,297.01,few clouds,1.02,1586059828,32400,TL,1586036480,1586079623,-8.93,125.41,11
3369157,Cape Town,287.92,100,1012,288.39,288.71,288.15,broken clouds,3.1,1586059232,7200,ZA,1586062892,1586104555,-33.93,18.42,75
4031574,Provideniya,254.13,94,988,263.71,263.71,263.71,light snow,9.29,1586059828,43200,RU,1586104386,1586155069,64.38,-173.3,100
964420,Port Elizabeth,287.73,93,1008,291.15,291.15,291.15,overcast clouds,8.2,1586059829,7200,ZA,1586061175,1586102841,-33.92,25.57,90
147774,Khojaly District,276.55,56,1025,279.83,279.83,279.83,clear sky,1.56,1586059829,14400,AZ,1586053803,1586100030,39.91,46.79,3
6201424,Mataura,292.52,55,1018,293.71,293.71,293.71,overcast clouds,2.24,1586059829,43200,NZ,1586027262,1586067989,-46.19,168.86,97
